,0.643710407,,,,,,1795913441,,,,8323,33677.31222,,98056.71734
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:34,0.501,0.501,98.997,0,0,0,1804132352,91787264,3341000704,3153002496,6946,7711,0,32768
2019/10/17 0:34,0,0.251,99.749,0,0,0,1804124160,91787264,3341008896,3153002496,3479,3200,0,0
2019/10/17 0:34,0.5,0.25,99.25,0,0,0,1804124160,91787264,3341008896,3153002496,5234,4536,0,0
2019/10/17 0:34,0.5,0.25,99.25,0,0,0,1804124160,91787264,3341008896,3153002496,3482,6288,0,0
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803980800,91787264,3341008896,3153145856,3179,1854,0,0
2019/10/17 0:34,0.25,0.25,98.5,1,0,0,1803821056,91787264,3341008896,3153305600,4398,2117,0,303104
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803821056,91787264,3341008896,3153305600,3391,1925,0,0
2019/10/17 0:34,0.501,0,99.499,0,0,0,1803821056,91787264,3341008896,3153305600,4123,2616,0,16384
2019/10/17 0:34,0.251,0.251,99.497,0,0,0,1803821056,91787264,3341008896,3153305600,5465,2935,0,0
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803784192,91787264,3341012992,3153338368,2531,1628,0,0
2019/10/17 0:34,0.503,0,98.744,0.754,0,0,1803640832,91787264,3341012992,3153481728,3329,2285,0,131072
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803640832,91787264,3341012992,3153481728,4200,1935,0,0
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1803640832,91787264,3341012992,3153481728,3541,2261,0,8192
2019/10/17 0:34,0.251,0,99.749,0,0,0,1803640832,91787264,3341012992,3153481728,3113,1813,0,0
2019/10/17 0:34,0.5,0.25,99.25,0,0,0,1803640832,91787264,3341012992,3153481728,4611,2070,0,8192
2019/10/17 0:34,3.266,0.251,96.482,0,0,0,1802993664,91787264,3341025280,3154116608,25382,14358,0,270336
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1802989568,91787264,3341029376,3154116608,3718,1852,0,8192
2019/10/17 0:34,5.486,0.748,93.267,0.249,0,0.249,1813909504,91787264,3341049856,3143176192,34809,673387,0,172032
2019/10/17 0:34,0.501,0.251,99.248,0,0,0,1813528576,91787264,3341049856,3143557120,1490,978,0,0
2019/10/17 0:34,0.251,0.251,99.497,0,0,0,1813528576,91787264,3341049856,3143557120,5174,4150,0,0
2019/10/17 0:34,0.501,0.251,98.747,0.501,0,0,1813401600,91787264,3341049856,3143684096,6355,2991,0,139264
2019/10/17 0:34,0.501,0.251,99.248,0,0,0,1813544960,91787264,3341049856,3143540736,5489,3156,0,8192
2019/10/17 0:34,0.503,0.251,99.246,0,0,0,1813680128,91787264,3341058048,3143397376,7585,7931,0,0
2019/10/17 0:34,0.251,0,99.749,0,0,0,1813676032,91787264,3341062144,3143397376,4390,3413,0,0
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1813549056,91787264,3341062144,3143524352,2745,1636,0,0
2019/10/17 0:34,0.501,0.251,98.997,0.251,0,0,1813549056,91787264,3341062144,3143524352,5060,8969,0,40960
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1813549056,91787264,3341062144,3143524352,4200,1978,0,0
2019/10/17 0:34,0.504,0,99.496,0,0,0,1813372928,91787264,3341062144,3143700480,2833,1900,0,0
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1813372928,91787264,3341062144,3143700480,3113,1745,0,0
2019/10/17 0:34,0.501,0.251,99.248,0,0,0,1813368832,91787264,3341066240,3143700480,6411,3223,0,16384
2019/10/17 0:34,0.5,0.25,99.25,0,0,0,1813356544,91787264,3341070336,3143708672,2822,1836,0,24576
2019/10/17 0:34,0.251,0.251,98.747,0.752,0,0,1813229568,91787264,3341070336,3143835648,3655,2565,0,49152
2019/10/17 0:34,0.251,0.251,99.497,0,0,0,1813196800,91787264,3341070336,3143868416,4996,2617,0,0
2019/10/17 0:34,0.501,0,99.499,0,0,0,1813196800,91787264,3341070336,3143868416,2569,1594,0,0
2019/10/17 0:34,0.251,0.501,99.248,0,0,0,1813196800,91787264,3341070336,3143868416,4085,2370,0,8192
2019/10/17 0:34,0.251,0,99.749,0,0,0,1813323776,91787264,3341070336,3143741440,4200,2030,0,114688
2019/10/17 0:34,0.501,0.501,98.747,0.251,0,0,1813323776,91787264,3341070336,3143741440,2569,1652,0,90112
2019/10/17 0:34,0.752,0.251,98.997,0,0,0,1813057536,91787264,3341082624,3143995392,26509,14572,0,237568
2019/10/17 0:34,0.251,0.251,99.499,0,0,0,1813053440,91787264,3341086720,3143995392,4778,2210,0,8192
2019/10/17 0:34,3.759,0.251,95.739,0,0,0.251,1813475328,91787264,3341094912,3143565312,28594,661355,0,172032
2019/10/17 0:34,0.503,0.251,99.246,0,0,0,1813082112,91787264,3341107200,3143946240,417105,10624,0,49152
2019/10/17 0:34,0.75,0,98.75,0.5,0,0,1813098496,91787264,3341107200,3143929856,3702,2964,0,98304
2019/10/17 0:34,0.251,0.251,99.497,0,0,0,1813094400,91787264,3341111296,3143929856,4696,4233,0,0
2019/10/17 0:34,0.501,0.251,99.248,0,0,0,1813094400,91787264,3341111296,3143929856,8188,4797,0,40960
